"full_name","class","e","a","i","om","w","ma","per","moid","moid_ld","pha","H","diameter","albedo","rot_per","epoch"
"       (2021 XZ5)",ATE,0.1601,0.9336,11.62,77.81,241.06,237.35,329,0.000849,0.33,N,28.29,,,,2461000.5
"       (2021 XA6)",ATE,0.1604,0.8903,6.74,79.35,223.06,12.69,307,0.00156,0.607,N,24.83,,,,2461000.5
"       (2021 XB6)",APO,0.6239,2.083,0.89,16.23,359.38,126.71,1.1e+03,0.0134,5.23,N,24.06,,,,2461000.5
"       (2021 XC6)",ATE,0.3169,0.8882,9.94,263.87,306.93,157.49,306,0.00123,0.48,N,28.30,,,,2461000.5
"       (2021 XD6)",APO,0.1838,1.12,0.83,89.77,291.41,159.39,433,0.00269,1.05,N,28.49,,,,2461000.5
"       (2021 XE6)",APO,0.5313,2.063,5.26,269.47,152.23,123.30,1.08e+03,0.012,4.66,N,24.23,,,,2461000.5
"       (2021 XF6)",ATE,0.2565,0.8736,9.78,281.39,1.80,84.01,298,0.104,40.3,N,24.34,,,,2461000.5
"       (2021 XG6)",AMO,0.5813,2.581,15.30,269.35,189.78,337.22,1.51e+03,0.101,39.2,N,24.41,,,,2461000.5
"       (2021 XH6)",APO,0.4685,1.874,6.62,310.97,87.81,208.68,937,0.107,41.7,N,23.84,,,,2461000.5
"       (2021 XK6)",APO,0.3127,1.455,20.95,269.31,178.15,84.98,641,0.0162,6.29,N,22.76,,,,2461000.5
"       (2021 XL6)",APO,0.3392,1.477,23.19,59.88,343.84,83.23,655,0.00213,0.831,Y,21.19,,,,2461000.5
"       (2021 XM6)",APO,0.6403,1.791,8.01,269.22,86.99,21.80,875,0.0015,0.582,N,24.11,,,,2459563.5
"       (2021 XN6)",APO,0.6145,2.488,1.52,248.42,225.15,353.13,1.43e+03,0.0105,4.1,N,27.02,,,,2459559.5
"       (2021 XR6)",APO,0.2417,1.091,5.05,63.12,286.26,228.03,416,0.00887,3.45,N,26.44,,,,2461000.5
"       (2021 XY6)",APO,0.3406,1.495,6.24,79.62,94.65,3.63,668,0.089,34.6,N,22.74,,,,2461000.5
"       (2021 XA11)",APO,0.5342,1.926,9.70,259.48,222.04,348.25,976,0.000311,0.121,N,28.30,,,,2459559.5
"       (2021 YA)",APO,0.5020,1.711,1.57,26.64,359.21,291.16,818,0.0214,8.32,N,24.18,,,,2461000.5
"       (2021 YB)",APO,0.1646,1.017,5.22,270.47,267.72,223.29,375,0.000328,0.128,N,27.52,,,,2461000.5
"       (2021 YC)",APO,0.2237,1.277,6.64,85.89,351.40,264.57,527,0.00917,3.57,N,25.80,,,,2461000.5
"       (2021 YD)",APO,0.4064,1.597,14.12,270.41,209.77,346.34,737,0.00179,0.695,N,24.27,,,,2459565.5
"       (2021 YE)",APO,0.4091,1.659,3.41,76.40,336.26,314.99,781,0.00956,3.72,N,25.93,,,,2461000.5
"       (2021 YG)",AMO,0.4793,2.305,20.79,266.38,198.29,45.25,1.28e+03,0.229,89,N,20.65,,,,2461000.5
"       (2021 YH)",APO,0.5738,2.259,5.80,80.18,343.21,5.37,1.24e+03,0.00422,1.64,N,27.03,,,,2459566.5
"       (2021 YJ)",APO,0.5618,2.303,32.37,274.25,176.47,41.38,1.28e+03,0.0261,10.2,Y,19.90,,,,2461000.5
